dataset,subject,accuracy,f1
studentlife,0,0.9615384615384616,0.9637862137862138
studentlife,1,1.0,1.0
studentlife,2,1.0,1.0
studentlife,3,1.0,1.0
studentlife,4,0.9787234042553191,0.9787234042553191
studentlife,5,1.0,1.0
studentlife,7,1.0,1.0
studentlife,8,0.9642857142857143,0.9657738095238095
studentlife,10,0.9830508474576272,0.9757869249394673
studentlife,12,1.0,1.0
studentlife,14,1.0,1.0
studentlife,15,1.0,1.0
studentlife,16,0.9464285714285714,0.9482664033355278
studentlife,17,0.9090909090909091,0.884297520661157
studentlife,18,1.0,1.0
studentlife,19,1.0,1.0
studentlife,20,1.0,1.0
studentlife,22,1.0,1.0
studentlife,23,1.0,1.0
studentlife,24,1.0,1.0
studentlife,25,1.0,1.0
studentlife,27,1.0,1.0
studentlife,30,0.9666666666666667,0.9823529411764705
studentlife,31,1.0,1.0
studentlife,32,1.0,1.0
studentlife,33,0.9591836734693877,0.9621694831778864
studentlife,34,1.0,1.0
studentlife,35,1.0,1.0
studentlife,36,1.0,1.0
studentlife,39,1.0,1.0
studentlife,41,1.0,1.0
studentlife,42,1.0,1.0
studentlife,43,0.9473684210526315,0.9439280018227386
studentlife,44,1.0,1.0
studentlife,45,1.0,1.0
studentlife,46,1.0,1.0
studentlife,47,1.0,1.0
studentlife,49,0.9821428571428571,0.9813372717508057
studentlife,50,1.0,1.0
studentlife,51,1.0,1.0
studentlife,52,1.0,1.0
studentlife,53,1.0,1.0
studentlife,54,1.0,1.0
studentlife,56,1.0,1.0
studentlife,57,1.0,1.0
studentlife,58,0.9830508474576272,0.984142140981482
studentlife,59,0.9259259259259259,0.9280561607358992
